Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
3410, 2966991, 1.18936602, 15.69609375, 0.60559142, 15.69609375, 0.61619128, 15.69609375, 0.36993180, 15.69921875, 0.34806344, 15.69921875
3510, 3155672, 1.26266802, 15.69921875, 0.64672756, 15.69921875, 0.64355650, 15.69921875, 0.37715200, 15.69921875, 0.36063624, 15.69921875
3610, 3323445, 1.34753916, 15.69921875, 0.70597624, 15.69921875, 0.67138192, 15.69921875, 0.38162618, 15.69921875, 0.35345764, 15.69921875
3710, 3486824, 1.36391222, 15.69921875, 0.72149588, 15.69921875, 0.70767726, 15.69921875, 0.38736794, 15.69921875, 0.35165484, 15.69921875
3810, 3678776, 1.55237702, 15.70625000, 0.74566002, 15.70625000, 0.74182974, 15.70625000, 0.38759524, 15.70703125, 0.35086554, 15.71015625
3910, 3851741, 1.50552778, 15.72500000, 0.76297258, 15.72500000, 0.75984206, 15.72500000, 0.37847566, 15.72656250, 0.35485608, 15.72656250
4010, 4035595, 1.58009872, 15.72656250, 0.80328798, 15.72656250, 0.79523618, 15.72656250, 0.38552068, 15.72656250, 0.36083626, 15.72656250
4110, 4251331, 1.66911140, 15.72968750, 0.84023294, 15.72968750, 0.84006288, 15.72968750, 0.39689620, 15.73046875, 0.36363104, 15.73046875
4210, 4444147, 1.83167928, 15.75546875, 0.87525778, 15.75546875, 0.87117906, 15.75546875, 0.41315276, 15.76171875, 0.37360740, 15.76171875
4310, 4679393, 1.80879710, 15.76171875, 0.93472418, 15.76171875, 0.90493148, 15.76171875, 0.40061038, 15.76171875, 0.35225566, 15.76171875
4410, 4883111, 1.91357896, 15.76796875, 0.94712540, 15.76796875, 0.94392674, 15.76796875, 0.39931474, 15.76953125, 0.37261060, 15.76953125
4510, 5097757, 2.06330430, 15.76953125, 0.98982936, 15.76953125, 0.97380734, 15.76953125, 0.37844090, 15.76953125, 0.37534944, 15.76953125
4610, 5313765, 2.05263006, 15.76953125, 1.04515934, 15.76953125, 1.01215240, 15.76953125, 0.31772316, 15.76953125, 0.38025018, 15.76953125
4710, 5555710, 2.16881748, 15.76953125, 1.08456304, 15.76953125, 1.06792340, 15.76953125, 0.37320288, 15.76953125, 0.37818352, 15.76953125
4810, 5789544, 2.24373504, 15.76953125, 1.11997350, 15.76953125, 1.10336560, 15.76953125, 0.27413438, 15.76953125, 0.38846676, 15.76953125
4910, 6028006, 2.34498490, 15.76953125, 1.15621932, 15.76953125, 1.18823912, 15.76953125, 0.27886814, 15.76953125, 0.38851912, 15.76953125
5010, 6279946, 2.40947064, 15.76953125, 1.20824704, 15.76953125, 1.26739828, 15.76953125, 0.27383548, 15.76953125, 0.36890858, 15.76953125
5110, 6525748, 2.49430924, 15.76953125, 1.31009464, 15.76953125, 1.31734132, 15.76953125, 0.27030490, 15.76953125, 0.37351560, 15.76953125
5210, 6801745, 2.61716414, 15.76953125, 1.28375404, 15.76953125, 1.26524376, 15.76953125, 0.27947536, 15.76953125, 0.38649314, 15.76953125
5310, 7054437, 2.74507806, 15.76953125, 1.38008444, 15.76953125, 1.30134976, 15.76953125, 0.26993190, 15.76953125, 0.37768618, 15.76953125
5410, 7313700, 2.78584744, 15.76953125, 1.36219652, 15.76953125, 1.35640436, 15.76953125, 0.26854088, 15.76953125, 0.38557914, 15.76953125
5510, 7601547, 2.94382084, 15.78828125, 1.50481814, 15.78828125, 1.40860842, 15.78828125, 0.27143156, 15.79296875, 0.37384772, 15.79296875
