Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
3410, 2821873, 1.70424268, 15.25078125, 0.78432934, 15.25078125, 0.73605226, 15.25078125, 0.55548526, 15.25078125, 0.49627016, 15.25078125
3510, 2991968, 1.39085494, 15.26562500, 0.73851908, 15.26562500, 0.77837068, 15.26562500, 0.79015020, 15.26562500, 0.49029408, 15.26562500
3610, 3162448, 1.45816836, 15.26640625, 0.89353378, 15.26640625, 0.85303774, 15.26640625, 0.68730822, 15.26640625, 0.75585794, 15.26718750
3710, 3356169, 1.62178616, 15.26953125, 0.89722406, 15.26953125, 0.78400098, 15.26953125, 0.58489200, 15.26953125, 0.55195248, 15.26953125
3810, 3546769, 1.58210810, 15.28671875, 0.91341412, 15.29921875, 0.92552466, 15.29921875, 0.87406644, 15.30312500, 0.72885140, 15.30625000
3910, 3736906, 3.21982874, 15.40156250, 0.89743846, 15.40546875, 0.87636114, 15.40546875, 0.57898784, 15.41015625, 0.53875290, 15.41015625
4010, 3942134, 1.83414470, 15.41015625, 1.04298916, 15.41015625, 1.76052576, 15.41015625, 0.57930648, 15.41015625, 0.54989186, 15.41015625
4110, 4130394, 1.96635036, 15.41953125, 1.00998480, 15.41953125, 0.99277288, 15.41953125, 0.54766994, 15.42187500, 0.50165420, 15.42187500
4210, 4331123, 1.91011116, 15.42421875, 1.08189058, 15.42421875, 0.94881144, 15.42421875, 0.56866194, 15.42421875, 0.62494274, 15.42500000
4310, 4559478, 1.98684866, 15.43203125, 1.01820288, 15.43203125, 0.97846938, 15.43203125, 0.43929534, 15.43359375, 0.52118844, 15.43359375
4410, 4755268, 2.05785334, 15.43984375, 1.05433862, 15.43984375, 1.02937038, 15.43984375, 0.41872182, 15.44140625, 0.45419066, 15.44140625
