Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
3410, 2897188, 1.23024594, 15.36484375, 0.61571544, 15.36484375, 0.60553728, 15.36484375, 0.39747294, 15.36718750, 0.36921976, 15.36718750
3510, 3083993, 1.25290202, 15.36718750, 0.66195144, 15.36718750, 0.64250404, 15.36718750, 0.42102396, 15.36718750, 0.37599464, 15.36718750
3610, 3259044, 1.42581598, 15.37031250, 0.71239632, 15.37031250, 0.71433794, 15.37031250, 0.50650076, 15.37109375, 0.48449752, 15.37109375
3710, 3447828, 1.40469972, 15.37421875, 0.73510064, 15.37421875, 0.73110058, 15.37421875, 0.49417532, 15.37500000, 0.45497996, 15.37500000
3810, 3631132, 1.50642496, 15.38046875, 0.79204744, 15.38046875, 0.77882438, 15.38281250, 0.47928296, 15.38593750, 0.43864100, 15.38593750
3910, 3814886, 1.54275862, 15.41484375, 0.84614004, 15.41484375, 0.79513758, 15.41484375, 0.39897776, 15.41796875, 0.38564764, 15.41796875
4010, 4011641, 1.66265592, 15.41796875, 0.83980736, 15.41796875, 0.80507750, 15.41796875, 0.42146666, 15.41796875, 0.36502544, 15.41796875
4110, 4208631, 1.71791660, 15.41796875, 0.85767242, 15.41796875, 0.84817050, 15.41796875, 0.43266564, 15.41796875, 0.38018870, 15.41796875
4210, 4409205, 1.73439344, 15.42421875, 0.90089494, 15.42421875, 0.87032734, 15.42421875, 0.40399794, 15.42578125, 0.36941896, 15.42578125
4310, 4607948, 1.81130452, 15.42578125, 0.91590654, 15.42578125, 0.89011064, 15.42578125, 0.33804218, 15.42578125, 0.39156650, 15.42578125
4410, 4832051, 2.04677664, 15.42578125, 1.03578848, 15.42578125, 1.11996172, 15.42578125, 0.40483710, 15.42578125, 0.48393508, 15.42578125
4510, 5065717, 2.12176106, 15.42578125, 1.08160328, 15.42578125, 1.02538376, 15.42578125, 0.31726334, 15.42578125, 0.40591694, 15.42578125
4610, 5300455, 2.15413474, 15.42578125, 1.05682054, 15.42578125, 1.04243746, 15.42578125, 0.33570626, 15.42578125, 0.45063958, 15.42578125
4710, 5546803, 2.25590156, 15.32734375, 1.11730116, 15.32968750, 1.08367112, 15.33281250, 0.30801992, 15.36015625, 0.40183892, 15.29453125
4810, 5786636, 2.31261442, 15.31171875, 1.20258572, 15.31250000, 1.13399380, 15.31250000, 0.32739760, 15.32109375, 0.42790560, 15.32265625
4910, 5992978, 2.40645134, 15.33437500, 1.18576162, 15.33437500, 1.11564154, 15.33437500, 0.29835500, 15.33593750, 0.40450928, 15.33593750
5010, 6229570, 2.51420276, 15.33593750, 1.25754668, 15.33593750, 1.19450912, 15.33593750, 0.33162954, 15.33593750, 0.45373430, 15.33593750
5110, 6473845, 2.63371916, 15.33593750, 1.35097164, 15.33593750, 1.40162334, 15.33593750, 0.31110174, 15.33593750, 0.44325040, 15.33593750
5210, 6719948, 2.74262232, 15.33906250, 1.34758874, 15.33906250, 1.34680876, 15.33906250, 0.31521744, 15.33984375, 0.44612810, 15.33984375
5310, 6976827, 2.70175300, 15.33984375, 1.35000836, 15.33984375, 1.29417772, 15.33984375, 0.30769498, 15.33984375, 0.41220922, 15.33984375
5410, 7251165, 2.79133276, 15.35234375, 1.44831896, 15.35234375, 1.46434864, 15.35234375, 0.29879434, 15.35546875, 0.39639168, 15.35546875
5510, 7531188, 3.05351374, 15.36171875, 1.49500548, 15.36171875, 1.47462432, 15.36171875, 0.29144096, 15.36328125, 0.38135838, 15.36328125
5610, 7821352, 3.02882322, 15.36328125, 1.49197804, 15.36328125, 1.46685610, 15.36328125, 0.29817224, 15.36328125, 0.37680360, 15.36328125
5710, 8110795, 3.21761658, 15.36640625, 1.54324634, 15.36640625, 1.48913538, 15.36640625, 0.30810486, 15.36718750, 0.38260390, 15.36718750
5810, 8384343, 3.29751922, 15.37031250, 1.56726628, 15.37031250, 1.52004672, 15.37031250, 0.28772480, 15.37109375, 0.37517050, 15.37109375
5910, 8663691, 3.45443468, 15.37109375, 1.63161580, 15.37109375, 1.58857560, 15.37109375, 0.28486982, 15.37109375, 0.38366436, 15.37109375
6010, 8961648, 3.44934340, 15.37421875, 1.66560642, 15.37421875, 1.64037060, 15.37421875, 0.29936332, 15.37500000, 0.38193858, 15.37500000
6110, 9253169, 3.55478186, 15.37500000, 1.74349470, 15.37500000, 1.67349732, 15.37500000, 0.30419086, 15.37500000, 0.41070198, 15.37500000
6210, 9563581, 3.66420286, 15.33750000, 1.77428968, 15.33750000, 1.71949708, 15.33750000, 0.29614744, 15.32812500, 0.37923124, 15.32812500
6310, 9886115, 3.85999006, 15.32812500, 1.82537158, 15.32812500, 1.78197356, 15.32812500, 0.30310812, 15.32812500, 0.38484634, 15.32812500
6410, 10191417, 3.85172466, 15.32812500, 1.87487954, 15.32812500, 1.85234084, 15.32812500, 0.30892496, 15.32812500, 0.39329360, 15.32812500
